===== สรุปผลการสแกนตลาด 2025-05-03 08:43:27 =====

สัญญาที่สแกน: 50
สัญญาณ BUY: 15
สัญญาณ SELL: 6
สัญญาณ HOLD: 29

===== เหรียญทั้งหมดเรียงตามคะแนนจากมากไปน้อย =====
1. 🟢 HAEDALUSDT (คะแนน: 10.0) - ราคา: 0.188621 | Entry: 0.182132 | SL: 0.151000 | TP: 0.208800 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.175900, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
24. 🟡 XRPUSDT (คะแนน: 7.7) - ราคา: 2.197900 - แตกแนวต้านขึ้นไป ที่ราคา 2.212710, เมื่อ 25 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
25. 🔴 ENAUSDT (คะแนน: 7.7) - ราคา: 0.303700 | Entry: 0.318288 | SL: 0.329000 | TP: 0.306200 | R:R 1:1.1 - แตกแนวรับลงมา ที่ราคา 0.320667, เมื่อ 22 แท่งที่แล้ว, ยังไม่มี retest
26. 🟢 TURBOUSDT (คะแนน: 7.5) - ราคา: 0.005371 | Entry: 0.005449 | SL: 0.004853 | TP: 0.005960 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.005359, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
27. 🟡 FARTCOINUSDT (คะแนน: 7.5) - ราคา: 1.141500 - แตกแนวต้านขึ้นไป ที่ราคา 1.207500, เมื่อ 11 แท่งที่แล้ว, ยังไม่มี retest
28. 🔴 MOVEUSDT (คะแนน: 7.3) - ราคา: 0.187300 | Entry: 0.186724 | SL: 0.196300 | TP: 0.167573 | R:R 1:2.0 - แตกแนวรับลงมา ที่ราคา 0.188760, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
29. 🟡 DOLOUSDT (คะแนน: 7.0) - ราคา: 0.063743 - แตกแนวต้านขึ้นไป ที่ราคา 0.064280, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
30. 🟢 BSWUSDT (คะแนน: 6.7) - ราคา: 0.045220 | Entry: 0.045729 | SL: 0.043694 | TP: 0.046700 | R:R 1:0.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.045220, เมื่อ 19 แท่งที่แล้ว, ยังไม่มี retest
31. 🟡 FHEUSDT (คะแนน: 6.7) - ราคา: 0.104040 - แตกแนวต้านขึ้นไป ที่ราคา 0.104424, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
32. 🟢 VIRTUALUSDT (คะแนน: 6.7) - ราคา: 1.724600 | Entry: 1.709068 | SL: 1.595200 | TP: 1.792100 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 1.683300, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
33. 🔴 BROCCOLIF3BUSDT (คะแนน: 6.6) - ราคา: 0.023860 | Entry: 0.025591 | SL: 0.030322 | TP: 0.024058 | R:R 1:0.3 - แตกแนวรับลงมา ที่ราคา 0.026000, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest
34. 🟡 DOGEUSDT (คะแนน: 6.3) - ราคา: 0.179950 - แตกแนวต้านขึ้นไป ที่ราคา 0.183322, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
35. 🟡 SUSDT (คะแนน: 6.2) - ราคา: 0.563200 - แตกแนวต้านขึ้นไป ที่ราคา 0.580967, เมื่อ 22 แท่งที่แล้ว, ยังไม่มี retest
36. 🟡 OPUSDT (คะแนน: 6.2) - ราคา: 0.709000 - แตกแนวต้านขึ้นไป ที่ราคา 0.742829, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
37. 🟡 WIFUSDT (คะแนน: 5.9) - ราคา: 0.629800 - แตกแนวต้านขึ้นไป ที่ราคา 0.648033, เมื่อ 5 แท่งที่แล้ว, ยังไม่มี retest
38. 🟡 POPCATUSDT (คะแนน: 5.9) - ราคา: 0.391500 - แตกแนวต้านขึ้นไป ที่ราคา 0.409133, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
39. 🟡 INITUSDT (คะแนน: 5.7) - ราคา: 0.698200 - แตกแนวต้านขึ้นไป ที่ราคา 0.691417, เมื่อ 13 แท่งที่แล้ว, ยังไม่มี retest
40. 🟡 SIGNUSDT (คะแนน: 5.4) - ราคา: 0.088960 - แตกแนวต้านขึ้นไป ที่ราคา 0.084900, เมื่อ 13 แท่งที่แล้ว, ยังไม่มี retest
41. 🟡 DRIFTUSDT (คะแนน: 5.3) - ราคา: 0.695100 - แตกแนวต้านขึ้นไป ที่ราคา 0.631567, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
42. 🟡 CRVUSDT (คะแนน: 4.2) - ราคา: 0.726000 - แตกแนวต้านขึ้นไป ที่ราคา 0.706333, เมื่อ 29 แท่งที่แล้ว, ยังไม่มี retest
43. 🟡 SUIUSDT (คะแนน: 3.8) - ราคา: 3.355800 - แตกแนวต้านขึ้นไป ที่ราคา 3.549800, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
44. 🟡 1000BONKUSDT (คะแนน: 3.6) - ราคา: 0.018219 - แตกแนวต้านขึ้นไป ที่ราคา 0.018801, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
45. 🟡 VOXELUSDT (คะแนน: 3.5) - ราคา: 0.094340 - แตกแนวต้านขึ้นไป ที่ราคา 0.095863, เมื่อ 13 แท่งที่แล้ว, ยังไม่มี retest
46. 🟡 SXTUSDT (คะแนน: 0.0) - ราคา: 0.381650 - 
47. 🟡 AIXBTUSDT (คะแนน: 0.0) - ราคา: 0.191500 - 
48. 🟡 MEMEFIUSDT (คะแนน: 0.0) - ราคา: 0.004403 - 
49. 🟡 WLDUSDT (คะแนน: 0.0) - ราคา: 1.011700 - 
50. 🟡 VVVUSDT (คะแนน: 0.0) - ราคา: 4.250000 - 

🟢 เหรียญที่มีสัญญาณ BUY (15)
  1. HAEDALUSDT - ราคา: 0.188621 - คะแนน: 10.0 | Entry: 0.182132 | SL: 0.151000 | TP: 0.208800 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.175900, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
  2. AIOTUSDT - ราคา: 0.395290 - คะแนน: 10.0 | Entry: 0.322880 | SL: 0.235720 | TP: 0.402000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.309300, เมื่อ 8 แท่งที่แล้ว, ยังไม่มี retest
  3. STOUSDT - ราคา: 0.201120 - คะแนน: 10.0 | Entry: 0.156749 | SL: 0.118150 | TP: 0.182940 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.150027, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest
  4. PENGUUSDT - ราคา: 0.011648 - คะแนน: 10.0 | Entry: 0.011836 | SL: 0.010444 | TP: 0.012785 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.011587, เมื่อ 10 แท่งที่แล้ว, ยังไม่มี retest
  5. AVAAIUSDT - ราคา: 0.073790 - คะแนน: 10.0 | Entry: 0.067429 | SL: 0.061734 | TP: 0.075720 | R:R 1:1.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.066005, เมื่อ 14 แท่งที่แล้ว, ยังไม่มี retest
  6. PNUTUSDT - ราคา: 0.182920 - คะแนน: 10.0 | Entry: 0.184788 | SL: 0.174450 | TP: 0.189420 | R:R 1:0.4 - แตกแนวต้านขึ้นไป ที่ราคา 0.182533, เมื่อ 5 แท่งที่แล้ว, ยังไม่มี retest
  7. HIGHUSDT - ราคา: 0.639900 - คะแนน: 9.8 | Entry: 0.620839 | SL: 0.574082 | TP: 0.676100 | R:R 1:1.2 - แตกแนวต้านขึ้นไป ที่ราคา 0.609150, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
  8. VINEUSDT - ราคา: 0.048240 - คะแนน: 8.9 | Entry: 0.047703 | SL: 0.041196 | TP: 0.053530 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.046077, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
  9. CHILLGUYUSDT - ราคา: 0.051970 - คะแนน: 8.9 | Entry: 0.045599 | SL: 0.041255 | TP: 0.052400 | R:R 1:1.6 - แตกแนวต้านขึ้นไป ที่ราคา 0.044513, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
  10. PUNDIXUSDT - ราคา: 0.574600 - คะแนน: 8.7 | Entry: 0.585721 | SL: 0.504700 | TP: 0.628400 | R:R 1:0.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.570900, เมื่อ 4 แท่งที่แล้ว, ยังไม่มี retest
  11. EOSUSDT - ราคา: 0.712000 - คะแนน: 8.5 | Entry: 0.708750 | SL: 0.689750 | TP: 0.725000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.704000, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
  12. BROCCOLI714USDT - ราคา: 0.039860 - คะแนน: 8.4 | Entry: 0.036341 | SL: 0.033107 | TP: 0.041700 | R:R 1:1.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.035533, เมื่อ 7 แท่งที่แล้ว, ยังไม่มี retest
  13. TURBOUSDT - ราคา: 0.005371 - คะแนน: 7.5 | Entry: 0.005449 | SL: 0.004853 | TP: 0.005960 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.005359, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
  14. BSWUSDT - ราคา: 0.045220 - คะแนน: 6.7 | Entry: 0.045729 | SL: 0.043694 | TP: 0.046700 | R:R 1:0.5 - แตกแนวต้านขึ้นไป ที่ราคา 0.045220, เมื่อ 19 แท่งที่แล้ว, ยังไม่มี retest
  15. VIRTUALUSDT - ราคา: 1.724600 - คะแนน: 6.7 | Entry: 1.709068 | SL: 1.595200 | TP: 1.792100 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 1.683300, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest

🔴 เหรียญที่มีสัญญาณ SELL (6)
  1. TIAUSDT - ราคา: 2.519500 - คะแนน: 10.0 | Entry: 2.587867 | SL: 2.662667 | TP: 2.566100 | R:R 1:0.3 - แตกแนวรับลงมา ที่ราคา 2.606567, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
  2. 1000PEPEUSDT - ราคา: 0.008493 - คะแนน: 8.1 | Entry: 0.008595 | SL: 0.008863 | TP: 0.008547 | R:R 1:0.2 - แตกแนวรับลงมา ที่ราคา 0.008662, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest
  3. OMUSDT - ราคา: 0.423740 - คะแนน: 7.9 | Entry: 0.443562 | SL: 0.461274 | TP: 0.441180 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.447990, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
  4. ENAUSDT - ราคา: 0.303700 - คะแนน: 7.7 | Entry: 0.318288 | SL: 0.329000 | TP: 0.306200 | R:R 1:1.1 - แตกแนวรับลงมา ที่ราคา 0.320667, เมื่อ 22 แท่งที่แล้ว, ยังไม่มี retest
  5. MOVEUSDT - ราคา: 0.187300 - คะแนน: 7.3 | Entry: 0.186724 | SL: 0.196300 | TP: 0.167573 | R:R 1:2.0 - แตกแนวรับลงมา ที่ราคา 0.188760, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
  6. BROCCOLIF3BUSDT - ราคา: 0.023860 - คะแนน: 6.6 | Entry: 0.025591 | SL: 0.030322 | TP: 0.024058 | R:R 1:0.3 - แตกแนวรับลงมา ที่ราคา 0.026000, เมื่อ 15 แท่งที่แล้ว, ยังไม่มี retest

