===== สรุปผลการสแกนตลาด 2025-05-03 09:06:11 =====

สัญญาที่สแกน: 150
สัญญาณ BUY: 22
สัญญาณ SELL: 17
สัญญาณ HOLD: 111

===== เหรียญทั้งหมดเรียงตามคะแนนจากมากไปน้อย =====
1. 🟢 AIOTUSDT (คะแนน: 10.0) - ราคา: 0.388390 | Entry: 0.323924 | SL: 0.235720 | TP: 0.402000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.309300, เมื่อ 9 แท่งที่แล้ว, ยังไม่มี retest
26. 🟡 BIDUSDT (คะแนน: 10.0) - ราคา: 0.054520 - แตกแนวต้านขึ้นไป ที่ราคา 0.057920, เมื่อ 22 แท่งที่แล้ว, ยังไม่มี retest
27. 🟡 MORPHOUSDT (คะแนน: 10.0) - ราคา: 1.377500 - แตกแนวต้านขึ้นไป ที่ราคา 1.432100, เมื่อ 27 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
28. 🟡 STRKUSDT (คะแนน: 10.0) - ราคา: 0.140600 - แตกแนวรับลงมา ที่ราคา 0.143117, เมื่อ 15 แท่งที่แล้ว, retest แนวรับเดิม ล้มเหลว
29. 🟡 WUSDT (คะแนน: 10.0) - ราคา: 0.086030 - แตกแนวต้านขึ้นไป ที่ราคา 0.091683, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
30. 🟢 HIGHUSDT (คะแนน: 9.8) - ราคา: 0.638900 | Entry: 0.620464 | SL: 0.575207 | TP: 0.676100 | R:R 1:1.2 - แตกแนวต้านขึ้นไป ที่ราคา 0.609150, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
31. 🟡 SOLVUSDT (คะแนน: 9.8) - ราคา: 0.035690 - แตกแนวต้านขึ้นไป ที่ราคา 0.036784, เมื่อ 10 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
32. 🟡 PNUTUSDT (คะแนน: 9.6) - ราคา: 0.180580 - แตกแนวต้านขึ้นไป ที่ราคา 0.186435, เมื่อ 5 แท่งที่แล้ว, ยังไม่มี retest
33. 🟡 PLUMEUSDT (คะแนน: 9.5) - ราคา: 0.177000 - แตกแนวต้านขึ้นไป ที่ราคา 0.193240, เมื่อ 25 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
34. 🟢 ZEREBROUSDT (คะแนน: 9.4) - ราคา: 0.050160 | Entry: 0.050160 | SL: 0.046856 | TP: 0.052250 | R:R 1:0.6 - แตกแนวต้านขึ้นไป ที่ราคา 0.049672, เมื่อ 30 แท่งที่แล้ว, retest แนวต้านเดิม สำเร็จ
35. 🔴 BERAUSDT (คะแนน: 9.2) - ราคา: 3.364000 | Entry: 3.370833 | SL: 3.452833 | TP: 3.337000 | R:R 1:0.4 - แตกแนวรับลงมา ที่ราคา 3.391333, เมื่อ 7 แท่งที่แล้ว, ยังไม่มี retest
36. 🟡 JASMYUSDT (คะแนน: 9.1) - ราคา: 0.016530 - แตกแนวต้านขึ้นไป ที่ราคา 0.017545, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
37. 🟢 PUNDIXUSDT (คะแนน: 9.0) - ราคา: 0.600200 | Entry: 0.585986 | SL: 0.525643 | TP: 0.628400 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.570900, เมื่อ 5 แท่งที่แล้ว, ยังไม่มี retest
38. 🟢 VINEUSDT (คะแนน: 8.9) - ราคา: 0.047930 | Entry: 0.047653 | SL: 0.041348 | TP: 0.053530 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.046077, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
39. 🟡 WALUSDT (คะแนน: 8.9) - ราคา: 0.553600 - แตกแนวต้านขึ้นไป ที่ราคา 0.669225, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
40. 🔴 SHELLUSDT (คะแนน: 8.9) - ราคา: 0.196000 | Entry: 0.198774 | SL: 0.206500 | TP: 0.183321 | R:R 1:2.0 - แตกแนวรับลงมา ที่ราคา 0.200567, เมื่อ 2 แท่งที่แล้ว, ยังไม่มี retest
41. 🟢 CHILLGUYUSDT (คะแนน: 8.9) - ราคา: 0.051260 | Entry: 0.045588 | SL: 0.041289 | TP: 0.052400 | R:R 1:1.6 - แตกแนวต้านขึ้นไป ที่ราคา 0.044513, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
42. 🟡 KAITOUSDT (คะแนน: 8.8) - ราคา: 0.847100 - แตกแนวต้านขึ้นไป ที่ราคา 0.932150, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
43. 🟡 PARTIUSDT (คะแนน: 8.6) - ราคา: 0.215700 - แตกแนวต้านขึ้นไป ที่ราคา 0.215867, เมื่อ 13 แท่งที่แล้ว, ยังไม่มี retest
44. 🟡 ARKMUSDT (คะแนน: 8.6) - ราคา: 0.568400 - แตกแนวต้านขึ้นไป ที่ราคา 0.602550, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
45. 🟢 EOSUSDT (คะแนน: 8.5) - ราคา: 0.714000 | Entry: 0.708393 | SL: 0.690821 | TP: 0.725000 | R:R 1:0.9 - แตกแนวต้านขึ้นไป ที่ราคา 0.704000, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
46. 🟡 GRIFFAINUSDT (คะแนน: 8.5) - ราคา: 0.067430 - แตกแนวต้านขึ้นไป ที่ราคา 0.069238, เมื่อ 29 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
47. 🟡 BICOUSDT (คะแนน: 8.5) - ราคา: 0.126300 - แตกแนวต้านขึ้นไป ที่ราคา 0.134700, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
48. 🟡 RAYSOLUSDT (คะแนน: 8.5) - ราคา: 2.815300 - แตกแนวต้านขึ้นไป ที่ราคา 2.897060, เมื่อ 30 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
49. 🟢 BROCCOLI714USDT (คะแนน: 8.4) - ราคา: 0.039420 | Entry: 0.036332 | SL: 0.033136 | TP: 0.041700 | R:R 1:1.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.035533, เมื่อ 8 แท่งที่แล้ว, ยังไม่มี retest
50. 🟡 FILUSDT (คะแนน: 8.4) - ราคา: 2.778000 - แตกแนวต้านขึ้นไป ที่ราคา 2.881333, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
51. 🔴 ALGOUSDT (คะแนน: 8.3) - ราคา: 0.212100 | Entry: 0.213492 | SL: 0.220100 | TP: 0.212600 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.214817, เมื่อ 7 แท่งที่แล้ว, ยังไม่มี retest
52. 🟡 NEIROETHUSDT (คะแนน: 8.2) - ราคา: 0.062840 - แตกแนวต้านขึ้นไป ที่ราคา 0.070289, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
53. 🟡 PIPPINUSDT (คะแนน: 8.2) - ราคา: 0.021750 - แตกแนวต้านขึ้นไป ที่ราคา 0.023813, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
54. 🔴 GUNUSDT (คะแนน: 8.1) - ราคา: 0.055000 | Entry: 0.056674 | SL: 0.059160 | TP: 0.053050 | R:R 1:1.5 - แตกแนวรับลงมา ที่ราคา 0.057200, เมื่อ 3 แท่งที่แล้ว, ยังไม่มี retest
55. 🔴 1000PEPEUSDT (คะแนน: 8.1) - ราคา: 0.008530 | Entry: 0.008600 | SL: 0.008849 | TP: 0.008547 | R:R 1:0.2 - แตกแนวรับลงมา ที่ราคา 0.008662, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
56. 🔴 BANUSDT (คะแนน: 8.0) - ราคา: 0.044280 | Entry: 0.047283 | SL: 0.048923 | TP: 0.046200 | R:R 1:0.7 - แตกแนวรับลงมา ที่ราคา 0.047693, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
57. 🔴 FLMUSDT (คะแนน: 8.0) - ราคา: 0.041300 | Entry: 0.041562 | SL: 0.043048 | TP: 0.041400 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.041933, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
58. 🟡 ONDOUSDT (คะแนน: 8.0) - ราคา: 0.907700 - แตกแนวรับลงมา ที่ราคา 0.901100, เมื่อ 19 แท่งที่แล้ว, ยังไม่มี retest
59. 🔴 OMUSDT (คะแนน: 7.9) - ราคา: 0.426400 | Entry: 0.443438 | SL: 0.461646 | TP: 0.441180 | R:R 1:0.1 - แตกแนวรับลงมา ที่ราคา 0.447990, เมื่อ 19 แท่งที่แล้ว, ยังไม่มี retest
60. 🟡 1000SHIBUSDT (คะแนน: 7.8) - ราคา: 0.013301 - แตกแนวต้านขึ้นไป ที่ราคา 0.013503, เมื่อ 26 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
61. 🟡 ADAUSDT (คะแนน: 7.8) - ราคา: 0.693600 - แตกแนวต้านขึ้นไป ที่ราคา 0.717633, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
62. 🟡 XRPUSDT (คะแนน: 7.8) - ราคา: 2.204900 - แตกแนวต้านขึ้นไป ที่ราคา 2.216029, เมื่อ 29 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
63. 🟡 BABYUSDT (คะแนน: 7.7) - ราคา: 0.101500 - แตกแนวรับลงมา ที่ราคา 0.101060, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
64. 🟡 1000FLOKIUSDT (คะแนน: 7.7) - ราคา: 0.084300 - แตกแนวต้านขึ้นไป ที่ราคา 0.084832, เมื่อ 14 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
65. 🟡 ORCAUSDT (คะแนน: 7.7) - ราคา: 2.730000 - แตกแนวต้านขึ้นไป ที่ราคา 2.902000, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
66. 🔴 ENAUSDT (คะแนน: 7.7) - ราคา: 0.304000 | Entry: 0.318460 | SL: 0.329000 | TP: 0.306200 | R:R 1:1.2 - แตกแนวรับลงมา ที่ราคา 0.320667, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
67. 🟡 NILUSDT (คะแนน: 7.6) - ราคา: 0.377700 - แตกแนวต้านขึ้นไป ที่ราคา 0.397200, เมื่อ 21 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
68. 🔴 MOVEUSDT (คะแนน: 7.6) - ราคา: 0.188000 | Entry: 0.186806 | SL: 0.196300 | TP: 0.167819 | R:R 1:2.0 - แตกแนวรับลงมา ที่ราคา 0.188760, เมื่อ 27 แท่งที่แล้ว, ยังไม่มี retest
69. 🟡 BANKUSDT (คะแนน: 7.5) - ราคา: 0.039594 - แตกแนวต้านขึ้นไป ที่ราคา 0.041853, เมื่อ 6 แท่งที่แล้ว, ยังไม่มี retest
70. 🟢 TURBOUSDT (คะแนน: 7.5) - ราคา: 0.005405 | Entry: 0.005441 | SL: 0.005113 | TP: 0.005960 | R:R 1:1.6 - แตกแนวต้านขึ้นไป ที่ราคา 0.005359, เมื่อ 17 แท่งที่แล้ว, ยังไม่มี retest
71. 🟡 SCRTUSDT (คะแนน: 7.5) - ราคา: 0.224200 - แตกแนวต้านขึ้นไป ที่ราคา 0.228600, เมื่อ 18 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
72. 🟡 FARTCOINUSDT (คะแนน: 7.5) - ราคา: 1.137800 - แตกแนวต้านขึ้นไป ที่ราคา 1.207500, เมื่อ 12 แท่งที่แล้ว, ยังไม่มี retest
73. 🟡 DOGSUSDT (คะแนน: 7.3) - ราคา: 0.000159 - แตกแนวต้านขึ้นไป ที่ราคา 0.000163, เมื่อ 12 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
74. 🟡 ETHFIUSDT (คะแนน: 7.2) - ราคา: 0.576100 - แตกแนวต้านขึ้นไป ที่ราคา 0.602833, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
75. 🟡 GPSUSDT (คะแนน: 7.2) - ราคา: 0.021040 - แตกแนวต้านขึ้นไป ที่ราคา 0.022595, เมื่อ 11 แท่งที่แล้ว, ยังไม่มี retest
76. 🟡 DOLOUSDT (คะแนน: 7.2) - ราคา: 0.063924 - แตกแนวต้านขึ้นไป ที่ราคา 0.064280, เมื่อ 3 แท่งที่แล้ว, ยังไม่มี retest
77. 🟢 FHEUSDT (คะแนน: 7.2) - ราคา: 0.106050 | Entry: 0.106849 | SL: 0.086350 | TP: 0.110720 | R:R 1:0.2 - แตกแนวต้านขึ้นไป ที่ราคา 0.104424, เมื่อ 3 แท่งที่แล้ว, ยังไม่มี retest
78. 🟡 SAGAUSDT (คะแนน: 7.2) - ราคา: 0.300700 - แตกแนวต้านขึ้นไป ที่ราคา 0.309875, เมื่อ 14 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
79. 🟡 LUMIAUSDT (คะแนน: 7.1) - ราคา: 0.311500 - แตกแนวต้านขึ้นไป ที่ราคา 0.332767, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
80. 🟡 NEIROUSDT (คะแนน: 7.0) - ราคา: 0.000249 - แตกแนวต้านขึ้นไป ที่ราคา 0.000256, เมื่อ 10 แท่งที่แล้ว, ยังไม่มี retest
81. 🔴 DEEPUSDT (คะแนน: 7.0) - ราคา: 0.182250 | Entry: 0.188313 | SL: 0.195532 | TP: 0.188250 | R:R 1:0.0 - แตกแนวรับลงมา ที่ราคา 0.190118, เมื่อ 20 แท่งที่แล้ว, ยังไม่มี retest
82. 🟡 GALAUSDT (คะแนน: 6.9) - ราคา: 0.016570 - แตกแนวต้านขึ้นไป ที่ราคา 0.017368, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
83. 🟡 COOKIEUSDT (คะแนน: 6.9) - ราคา: 0.173200 - แตกแนวต้านขึ้นไป ที่ราคา 0.190600, เมื่อ 11 แท่งที่แล้ว, ยังไม่มี retest
84. 🟢 FISUSDT (คะแนน: 6.9) - ราคา: 0.245300 | Entry: 0.238290 | SL: 0.227660 | TP: 0.252580 | R:R 1:1.3 - แตกแนวต้านขึ้นไป ที่ราคา 0.235770, เมื่อ 13 แท่งที่แล้ว, ยังไม่มี retest
85. 🟡 AKTUSDT (คะแนน: 6.9) - ราคา: 1.574000 - แตกแนวต้านขึ้นไป ที่ราคา 1.646000, เมื่อ 13 แท่งที่แล้ว, ยังไม่มี retest
86. 🟡 SANDUSDT (คะแนน: 6.9) - ราคา: 0.296590 - แตกแนวต้านขึ้นไป ที่ราคา 0.307337, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
87. 🟡 USUALUSDT (คะแนน: 6.8) - ราคา: 0.122500 - แตกแนวต้านขึ้นไป ที่ราคา 0.128533, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
88. 🟡 GOATUSDT (คะแนน: 6.8) - ราคา: 0.081820 - แตกแนวต้านขึ้นไป ที่ราคา 0.085420, เมื่อ 29 แท่งที่แล้ว, ยังไม่มี retest
89. 🟢 VIRTUALUSDT (คะแนน: 6.7) - ราคา: 1.718300 | Entry: 1.707286 | SL: 1.595200 | TP: 1.792100 | R:R 1:0.8 - แตกแนวต้านขึ้นไป ที่ราคา 1.683300, เมื่อ 17 แท่งที่แล้ว, ยังไม่มี retest
90. 🔴 BROCCOLIF3BUSDT (คะแนน: 6.6) - ราคา: 0.023784 | Entry: 0.025599 | SL: 0.030322 | TP: 0.024058 | R:R 1:0.3 - แตกแนวรับลงมา ที่ราคา 0.026000, เมื่อ 16 แท่งที่แล้ว, ยังไม่มี retest
91. 🟡 DOTUSDT (คะแนน: 6.6) - ราคา: 4.104000 - แตกแนวต้านขึ้นไป ที่ราคา 4.217000, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
92. 🔴 BEAMXUSDT (คะแนน: 6.6) - ราคา: 0.007775 | Entry: 0.008407 | SL: 0.009314 | TP: 0.007957 | R:R 1:0.5 - แตกแนวรับลงมา ที่ราคา 0.008466, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
93. 🟡 GMTUSDT (คะแนน: 6.5) - ราคา: 0.056930 - แตกแนวต้านขึ้นไป ที่ราคา 0.058592, เมื่อ 10 แท่งที่แล้ว, retest แนวต้านเดิม ล้มเหลว
94. 🟢 TRXUSDT (คะแนน: 6.5) - ราคา: 0.248640 | Entry: 0.247910 | SL: 0.245860 | TP: 0.249360 | R:R 1:0.7 - แตกแนวต้านขึ้นไป ที่ราคา 0.247540, เมื่อ 4 แท่งที่แล้ว, ยังไม่มี retest
95. 🟡 NEARUSDT (คะแนน: 6.4) - ราคา: 2.466000 - แตกแนวต้านขึ้นไป ที่ราคา 2.594500, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
96. 🟡 WOOUSDT (คะแนน: 6.3) - ราคา: 0.076200 - แตกแนวต้านขึ้นไป ที่ราคา 0.080520, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
97. 🟡 DOGEUSDT (คะแนน: 6.3) - ราคา: 0.180460 - แตกแนวต้านขึ้นไป ที่ราคา 0.183219, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
98. 🟡 SUSDT (คะแนน: 6.2) - ราคา: 0.564800 - แตกแนวต้านขึ้นไป ที่ราคา 0.580967, เมื่อ 23 แท่งที่แล้ว, ยังไม่มี retest
99. 🟡 OPUSDT (คะแนน: 6.2) - ราคา: 0.712700 - แตกแนวต้านขึ้นไป ที่ราคา 0.742829, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
100. 🟡 ARCUSDT (คะแนน: 6.2) - ราคา: 0.061600 - แตกแนวต้านขึ้นไป ที่ราคา 0.064073, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
101. 🟡 AXLUSDT (คะแนน: 6.1) - ราคา: 0.366100 - แตกแนวต้านขึ้นไป ที่ราคา 0.390440, เมื่อ 29 แท่งที่แล้ว, ยังไม่มี retest
102. 🟡 IOUSDT (คะแนน: 6.0) - ราคา: 0.797700 - แตกแนวต้านขึ้นไป ที่ราคา 0.856200, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
103. 🟡 WIFUSDT (คะแนน: 5.9) - ราคา: 0.627600 - แตกแนวต้านขึ้นไป ที่ราคา 0.649725, เมื่อ 6 แท่งที่แล้ว, ยังไม่มี retest
104. 🟡 POPCATUSDT (คะแนน: 5.9) - ราคา: 0.398200 - แตกแนวต้านขึ้นไป ที่ราคา 0.409133, เมื่อ 3 แท่งที่แล้ว, ยังไม่มี retest
105. 🟡 MEMEUSDT (คะแนน: 5.9) - ราคา: 0.002094 - แตกแนวต้านขึ้นไป ที่ราคา 0.002241, เมื่อ 28 แท่งที่แล้ว, ยังไม่มี retest
106. 🟡 1000WHYUSDT (คะแนน: 5.7) - ราคา: 0.000049 - แตกแนวต้านขึ้นไป ที่ราคา 0.000052, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
107. 🟡 INITUSDT (คะแนน: 5.7) - ราคา: 0.700600 - แตกแนวต้านขึ้นไป ที่ราคา 0.691417, เมื่อ 14 แท่งที่แล้ว, ยังไม่มี retest
108. 🟡 JTOUSDT (คะแนน: 5.7) - ราคา: 1.760000 - แตกแนวต้านขึ้นไป ที่ราคา 1.843975, เมื่อ 18 แท่งที่แล้ว, ยังไม่มี retest
109. 🟡 REDUSDT (คะแนน: 5.7) - ราคา: 0.394200 - แตกแนวต้านขึ้นไป ที่ราคา 0.417300, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
110. 🟡 SIGNUSDT (คะแนน: 5.7) - ราคา: 0.087670 - แตกแนวต้านขึ้นไป ที่ราคา 0.084900, เมื่อ 14 แท่งที่แล้ว, ยังไม่มี retest
111. 🟡 DEGENUSDT (คะแนน: 5.6) - ราคา: 0.003008 - แตกแนวต้านขึ้นไป ที่ราคา 0.003223, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
112. 🟡 TONUSDT (คะแนน: 5.6) - ราคา: 3.156900 - แตกแนวต้านขึ้นไป ที่ราคา 3.230850, เมื่อ 25 แท่งที่แล้ว, ยังไม่มี retest
113. 🟡 JUPUSDT (คะแนน: 5.5) - ราคา: 0.454900 - แตกแนวต้านขึ้นไป ที่ราคา 0.469343, เมื่อ 26 แท่งที่แล้ว, ยังไม่มี retest
114. 🟡 DRIFTUSDT (คะแนน: 5.5) - ราคา: 0.671600 - แตกแนวต้านขึ้นไป ที่ราคา 0.631567, เมื่อ 17 แท่งที่แล้ว, ยังไม่มี retest
115. 🟡 DYDXUSDT (คะแนน: 5.5) - ราคา: 0.635000 - แตกแนวต้านขึ้นไป ที่ราคา 0.670800, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
116. 🟡 ATOMUSDT (คะแนน: 5.4) - ราคา: 4.321000 - แตกแนวต้านขึ้นไป ที่ราคา 4.486800, เมื่อ 24 แท่งที่แล้ว, ยังไม่มี retest
117. 🟡 1000RATSUSDT (คะแนน: 5.3) - ราคา: 0.030670 - แตกแนวต้านขึ้นไป ที่ราคา 0.031823, เมื่อ 30 แท่งที่แล้ว, ยังไม่มี retest
