ชื่ออาหาร,จำนวน,ราคา,มูลค่า
ข้าวเหนียว,4,90,360
ไก่ย่าง,5,31,155
ก้อยปลา,4,47,188
ต้มแซ่บ,1,100,100
ลาบหมู,5,129,645
ไก่ย่าง,1,102,102
ตำไทย,2,58,116
น้ำตกหมู,2,36,72
ต้มแซ่บ,2,51,102
ตำไทย,1,121,121
แหนม,5,51,255
ไก่ย่าง,1,65,65
ตำแตง,2,87,174
ปลาดุกย่าง,4,147,588
ปลาร้าบอง,4,114,456
ตำปู,1,74,74
ต้มแซ่บ,2,114,228
ไส้กรอกอีสาน,4,96,384
น้ำตกหมู,4,35,140
ซุปหน่อไม้,3,47,141
ไส้กรอกอีสาน,3,45,135
ต้มแซ่บ,2,80,160
ลาบหมู,4,112,448
หมกหน่อไม้,3,142,426
แจ่วบอง,2,80,160
ตำไทย,3,150,450
แหนม,2,67,134
ส้มตำ,5,106,530
หมูยอ,3,136,408
ตำปู,1,132,132
ไส้กรอกอีสาน,3,124,372
ลาบหมู,2,78,156
ไก่ย่าง,4,106,424
ปลาร้าบอง,2,39,78
หมูยอ,5,71,355
หมกหน่อไม้,1,115,115
ตำแตง,1,94,94
ไก่ย่าง,1,126,126
ไก่ย่าง,3,88,264
ลาบหมู,4,143,572
แจ่วบอง,1,102,102
ไก่ย่าง,5,34,170
ตำปู,2,100,200
ตำไทย,4,37,148
ปลาดุกย่าง,4,145,580
ไก่ย่าง,2,31,62
แหนม,3,76,228
ข้าวจี่,5,85,425
ปลาร้าบอง,2,126,252
แจ่วบอง,1,31,31
ส้มตำ,5,99,495
ตำแตง,5,71,355
ตำไทย,5,102,510
ไส้กรอกอีสาน,1,44,44
ตำไทย,3,60,180
น้ำตกหมู,3,64,192
ตำปู,4,123,492
แจ่วบอง,4,46,184
ปลาร้าบอง,1,141,141
หมูยอ,5,57,285
แหนม,3,92,276
น้ำตกหมู,2,144,288
ลาบหมู,4,136,544
ข้าวจี่,3,56,168
แกงอ่อม,4,103,412
หมูยอ,4,56,224
ตำแตง,5,72,360
ตำปู,5,141,705
หมกหน่อไม้,5,111,555
ข้าวเหนียว,1,70,70
ตำไทย,4,40,160
ลาบหมู,4,137,548
ไก่ย่าง,2,73,146
หมกหน่อไม้,5,89,445
แกงอ่อม,3,137,411
ตำแตง,3,146,438
ข้าวเหนียว,1,80,80
น้ำตกหมู,5,136,680
หมูยอ,1,86,86
ส้มตำ,2,112,224
ซุปหน่อไม้,4,122,488
น้ำตกหมู,3,87,261
แจ่วบอง,3,64,192
หมูยอ,1,147,147
แหนม,3,128,384
แกงอ่อม,3,61,183
หมูยอ,5,36,180
ปลาร้าบอง,3,82,246
ปลาร้าบอง,3,94,282
ซุปหน่อไม้,3,62,186
ปลาดุกย่าง,2,112,224
แจ่วบอง,2,148,296
ลาบหมู,5,37,185
ก้อยปลา,2,55,110
ซุปหน่อไม้,1,45,45
ต้มแซ่บ,3,50,150
ส้มตำ,4,112,448
แหนม,2,56,112
ซุปหน่อไม้,2,102,204
ตำไทย,4,126,504
น้ำตกหมู,1,100,100
ตำแตง,3,75,225
หมกหน่อไม้,2,141,282
หมูยอ,3,59,177
ต้มแซ่บ,1,66,66
ตำปู,5,148,740
ลาบหมู,4,81,324
ส้มตำ,2,71,142
ตำแตง,1,135,135
ปลาร้าบอง,2,99,198
ก้อยปลา,1,61,61
ปลาร้าบอง,5,39,195
ส้มตำ,3,75,225
ตำไทย,5,87,435
น้ำตกหมู,4,97,388
หมกหน่อไม้,5,83,415
แจ่วบอง,4,71,284
ข้าวเหนียว,4,47,188
ต้มแซ่บ,2,49,98
ไก่ย่าง,1,78,78
ก้อยปลา,1,144,144
ไก่ย่าง,5,106,530
ตำปู,3,126,378
ตำปู,1,105,105
ส้มตำ,5,89,445
หมกหน่อไม้,3,115,345
ก้อยปลา,4,98,392
ตำแตง,2,126,252
ปลาดุกย่าง,4,90,360
ก้อยปลา,1,88,88
ไก่ย่าง,4,66,264
ปลาดุกย่าง,5,124,620
ตำปู,3,40,120
ไก่ย่าง,1,131,131
ตำแตง,4,122,488
ต้มแซ่บ,4,93,372
ไส้กรอกอีสาน,2,53,106
ลาบหมู,5,145,725
ข้าวเหนียว,4,142,568
แหนม,2,140,280
ข้าวเหนียว,1,36,36
ปลาร้าบอง,4,61,244
ตำปู,4,105,420
ต้มแซ่บ,5,81,405
ก้อยปลา,5,53,265
ซุปหน่อไม้,4,34,136
ตำปู,5,65,325
ข้าวเหนียว,4,136,544
แหนม,3,66,198
ข้าวจี่,2,30,60
ตำปู,2,109,218
ข้าวจี่,2,114,228
แจ่วบอง,4,116,464
ปลาดุกย่าง,3,46,138
ปลาร้าบอง,2,136,272
ก้อยปลา,2,106,212
ต้มแซ่บ,1,139,139
ไส้กรอกอีสาน,1,123,123
ต้มแซ่บ,4,116,464
แกงอ่อม,5,146,730
ปลาร้าบอง,1,56,56
ตำไทย,3,50,150
แจ่วบอง,4,53,212
หมูยอ,5,44,220
ข้าวจี่,3,89,267
น้ำตกหมู,5,134,670
ตำแตง,4,128,512
ตำแตง,4,110,440
แกงอ่อม,3,103,309
ตำไทย,1,106,106
หมกหน่อไม้,3,33,99
แหนม,4,63,252
น้ำตกหมู,2,123,246
ซุปหน่อไม้,3,107,321
ซุปหน่อไม้,5,49,245
ลาบหมู,4,129,516
หมูยอ,4,36,144
ตำแตง,4,136,544
ตำปู,3,70,210
ตำแตง,1,34,34
ปลาร้าบอง,2,49,98
ส้มตำ,1,90,90
ปลาดุกย่าง,3,64,192
ตำปู,5,93,465
ข้าวจี่,5,32,160
ตำปู,1,117,117
หมกหน่อไม้,2,74,148
ปลาดุกย่าง,1,60,60
ก้อยปลา,3,122,366
ซุปหน่อไม้,1,43,43
ไก่ย่าง,1,95,95
แกงอ่อม,5,73,365
ตำแตง,1,37,37
แหนม,5,150,750
แจ่วบอง,4,92,368
แกงอ่อม,4,140,560
น้ำตกหมู,3,54,162
ลาบหมู,5,97,485
แหนม,4,70,280
ตำแตง,1,45,45
แหนม,4,148,592
ข้าวจี่,3,87,261
แหนม,1,76,76
ปลาดุกย่าง,1,123,123
น้ำตกหมู,2,102,204
ต้มแซ่บ,1,34,34
ต้มแซ่บ,3,93,279
ซุปหน่อไม้,1,75,75
แกงอ่อม,4,51,204
ซุปหน่อไม้,4,36,144
หมกหน่อไม้,4,99,396
ตำไทย,2,107,214
ลาบหมู,1,45,45
ต้มแซ่บ,5,60,300
ไส้กรอกอีสาน,1,95,95
ปลาร้าบอง,2,33,66
ส้มตำ,4,127,508
ปลาดุกย่าง,4,68,272
ปลาร้าบอง,1,126,126
ปลาดุกย่าง,3,115,345
หมกหน่อไม้,3,129,387
ส้มตำ,1,45,45
น้ำตกหมู,5,125,625
ข้าวจี่,2,120,240
ไก่ย่าง,3,123,369
ซุปหน่อไม้,3,135,405
แกงอ่อม,4,127,508
หมูยอ,3,113,339
ลาบหมู,4,85,340
ข้าวจี่,4,66,264
ปลาร้าบอง,2,32,64
ข้าวจี่,4,146,584
ตำแตง,3,38,114
หมูยอ,4,131,524
ข้าวจี่,3,124,372
ส้มตำ,3,47,141
ต้มแซ่บ,3,150,450
ตำไทย,4,68,272
ต้มแซ่บ,3,94,282
ปลาร้าบอง,4,50,200
ข้าวจี่,1,55,55
ต้มแซ่บ,5,142,710
ไก่ย่าง,3,97,291
ตำแตง,1,77,77
ลาบหมู,2,64,128
แจ่วบอง,1,148,148
ไส้กรอกอีสาน,5,101,505
ต้มแซ่บ,1,91,91
ปลาร้าบอง,5,52,260
ก้อยปลา,3,72,216
ข้าวเหนียว,3,77,231
แกงอ่อม,1,77,77
แจ่วบอง,2,85,170
ตำแตง,2,141,282
ตำไทย,3,103,309
ส้มตำ,2,109,218
ปลาร้าบอง,2,141,282
ตำไทย,5,108,540
ข้าวจี่,3,71,213
แกงอ่อม,3,60,180
ข้าวเหนียว,5,89,445
ก้อยปลา,2,138,276
ตำไทย,1,87,87
ปลาดุกย่าง,1,64,64
ตำไทย,5,150,750
ไส้กรอกอีสาน,3,53,159
หมกหน่อไม้,4,150,600
ปลาดุกย่าง,4,130,520
แกงอ่อม,3,148,444
น้ำตกหมู,5,104,520
ซุปหน่อไม้,3,57,171
น้ำตกหมู,3,82,246
แจ่วบอง,1,61,61
ไก่ย่าง,2,93,186
ข้าวเหนียว,4,86,344
ไก่ย่าง,4,105,420
ซุปหน่อไม้,1,76,76
ไก่ย่าง,1,43,43
ไส้กรอกอีสาน,5,99,495
ซุปหน่อไม้,2,32,64
หมกหน่อไม้,2,88,176
ซุปหน่อไม้,1,78,78
ตำแตง,2,77,154
หมูยอ,3,72,216
ตำไทย,3,105,315
ซุปหน่อไม้,2,60,120
ข้าวจี่,1,60,60
ซุปหน่อไม้,3,142,426
แหนม,1,57,57
แจ่วบอง,2,115,230
แหนม,5,148,740
หมกหน่อไม้,3,71,213
ปลาร้าบอง,4,53,212
ข้าวจี่,3,55,165
ปลาดุกย่าง,5,116,580
น้ำตกหมู,1,121,121
แจ่วบอง,2,34,68
ข้าวเหนียว,4,62,248
แกงอ่อม,2,145,290
ปลาดุกย่าง,2,112,224
ก้อยปลา,2,76,152
ตำแตง,2,87,174
ต้มแซ่บ,4,46,184
ข้าวจี่,2,73,146
แจ่วบอง,5,98,490
ลาบหมู,3,77,231
ข้าวเหนียว,2,64,128
ส้มตำ,1,89,89
ก้อยปลา,3,113,339
ตำไทย,4,56,224
ลาบหมู,5,147,735
ข้าวเหนียว,3,68,204
ข้าวเหนียว,3,117,351
ส้มตำ,1,40,40
แจ่วบอง,1,37,37
ตำแตง,1,102,102
ปลาดุกย่าง,4,142,568
ข้าวจี่,5,52,260
ข้าวเหนียว,2,58,116
ข้าวจี่,2,74,148
ก้อยปลา,5,37,185
ซุปหน่อไม้,1,40,40
หมกหน่อไม้,3,122,366
ตำแตง,1,137,137
ต้มแซ่บ,4,124,496
ปลาร้าบอง,5,84,420
ไก่ย่าง,2,102,204
แหนม,4,61,244
แหนม,5,121,605
แหนม,3,134,402
ซุปหน่อไม้,2,34,68
ไก่ย่าง,4,136,544
ตำไทย,5,47,235
ตำแตง,1,122,122
ตำปู,2,33,66
หมกหน่อไม้,3,144,432
ตำไทย,1,59,59
ลาบหมู,2,88,176
แจ่วบอง,3,84,252
ปลาดุกย่าง,3,60,180
ตำปู,2,63,126
ตำไทย,4,125,500
ปลาดุกย่าง,3,106,318
ไก่ย่าง,1,127,127
ปลาร้าบอง,3,115,345
ข้าวจี่,2,51,102
ต้มแซ่บ,5,67,335
ข้าวจี่,2,92,184
ข้าวเหนียว,4,83,332
ไก่ย่าง,1,126,126
ส้มตำ,3,140,420
ข้าวจี่,5,103,515
ต้มแซ่บ,5,40,200
หมกหน่อไม้,3,63,189
ต้มแซ่บ,4,148,592
หมูยอ,3,44,132
ลาบหมู,2,34,68
ไส้กรอกอีสาน,1,142,142
ปลาร้าบอง,5,141,705
น้ำตกหมู,5,97,485
น้ำตกหมู,2,147,294
ลาบหมู,5,58,290
ตำแตง,1,111,111
ตำแตง,1,42,42
ส้มตำ,3,128,384
ตำปู,2,91,182
หมูยอ,2,64,128
ส้มตำ,1,34,34
แหนม,3,103,309
ตำแตง,3,82,246
ต้มแซ่บ,3,80,240
หมกหน่อไม้,5,142,710
ปลาร้าบอง,4,71,284
ข้าวเหนียว,2,30,60
แจ่วบอง,5,37,185
ปลาร้าบอง,2,143,286
ข้าวจี่,4,36,144
แกงอ่อม,4,86,344
ไส้กรอกอีสาน,1,60,60
ไก่ย่าง,3,140,420
ต้มแซ่บ,2,97,194
ไก่ย่าง,2,55,110
ไส้กรอกอีสาน,4,75,300
ตำปู,5,89,445
แจ่วบอง,4,135,540
ซุปหน่อไม้,4,139,556
หมกหน่อไม้,4,50,200
แกงอ่อม,4,124,496
ไก่ย่าง,2,82,164
ส้มตำ,2,126,252
ไก่ย่าง,1,37,37
หมกหน่อไม้,3,82,246
หมกหน่อไม้,5,132,660
ก้อยปลา,4,96,384
ไก่ย่าง,3,112,336
ลาบหมู,4,103,412
ข้าวจี่,5,71,355
ปลาดุกย่าง,5,69,345
ตำไทย,5,75,375
ต้มแซ่บ,5,109,545
ส้มตำ,5,90,450
ซุปหน่อไม้,5,126,630
ตำไทย,3,71,213
ไส้กรอกอีสาน,2,141,282
ลาบหมู,1,54,54
ตำไทย,5,103,515
ข้าวจี่,5,94,470
น้ำตกหมู,2,86,172
ไก่ย่าง,2,102,204
ปลาดุกย่าง,5,76,380
ปลาดุกย่าง,1,47,47
น้ำตกหมู,3,136,408
ตำแตง,4,141,564
ต้มแซ่บ,2,61,122
แจ่วบอง,4,129,516
ตำแตง,2,124,248
ไก่ย่าง,3,141,423
ซุปหน่อไม้,1,63,63
ไส้กรอกอีสาน,3,79,237
หมูยอ,4,113,452
ปลาร้าบอง,4,85,340
หมกหน่อไม้,5,146,730
ต้มแซ่บ,2,54,108
ซุปหน่อไม้,4,83,332
ไก่ย่าง,5,105,525
น้ำตกหมู,1,110,110
ก้อยปลา,1,111,111
แหนม,5,67,335
แหนม,4,33,132
ปลาร้าบอง,3,131,393
แหนม,3,60,180
ปลาดุกย่าง,4,50,200
แกงอ่อม,2,79,158
ตำไทย,3,79,237
ตำแตง,5,55,275
ส้มตำ,4,127,508
ตำไทย,1,60,60
ไส้กรอกอีสาน,1,40,40
ข้าวเหนียว,1,116,116
ก้อยปลา,2,40,80
ข้าวจี่,1,119,119
ข้าวจี่,3,43,129
แหนม,3,33,99
หมูยอ,5,60,300
น้ำตกหมู,4,46,184
ปลาร้าบอง,2,69,138
ตำปู,3,108,324
ต้มแซ่บ,3,63,189
ตำไทย,1,90,90
ปลาร้าบอง,4,139,556
ส้มตำ,3,137,411
ตำไทย,4,86,344
แกงอ่อม,3,72,216
ข้าวเหนียว,3,30,90
ปลาร้าบอง,5,149,745
ซุปหน่อไม้,3,147,441
แจ่วบอง,5,39,195
ตำแตง,1,146,146
หมูยอ,3,90,270
ไก่ย่าง,2,63,126
หมกหน่อไม้,5,97,485
แจ่วบอง,3,115,345
แหนม,5,121,605
ตำไทย,1,33,33
แกงอ่อม,5,142,710
ก้อยปลา,3,57,171
ตำปู,2,125,250
ส้มตำ,3,115,345
น้ำตกหมู,5,110,550
ข้าวจี่,2,138,276
หมกหน่อไม้,5,122,610
ตำไทย,5,65,325
แกงอ่อม,5,45,225
ตำไทย,5,105,525
ข้าวเหนียว,5,139,695
ตำแตง,3,148,444
แกงอ่อม,2,53,106
ต้มแซ่บ,3,64,192
ซุปหน่อไม้,3,54,162
ตำแตง,2,132,264
หมกหน่อไม้,5,68,340
ส้มตำ,2,112,224
แจ่วบอง,4,121,484
ตำแตง,1,113,113
ตำแตง,3,39,117
ข้าวเหนียว,3,85,255
หมูยอ,1,37,37
ตำแตง,1,89,89
หมูยอ,1,44,44
ก้อยปลา,3,90,270
ข้าวจี่,3,54,162
แหนม,5,139,695
ตำปู,2,82,164
ส้มตำ,2,51,102
แกงอ่อม,1,150,150
ไส้กรอกอีสาน,1,119,119
ตำไทย,4,86,344
น้ำตกหมู,5,93,465
แหนม,3,141,423
ต้มแซ่บ,4,144,576
ตำแตง,1,121,121
ต้มแซ่บ,2,63,126
ไส้กรอกอีสาน,3,138,414
ตำปู,3,91,273
ปลาร้าบอง,5,100,500
ลาบหมู,4,143,572
หมกหน่อไม้,2,56,112
หมูยอ,1,88,88
น้ำตกหมู,5,111,555
ข้าวจี่,3,145,435
ซุปหน่อไม้,4,145,580
ตำแตง,2,113,226
ต้มแซ่บ,3,150,450
ไก่ย่าง,3,147,441
ไก่ย่าง,1,128,128
น้ำตกหมู,1,70,70
หมกหน่อไม้,3,76,228
น้ำตกหมู,3,96,288
ข้าวจี่,1,71,71
ตำปู,3,72,216
ตำแตง,3,59,177
ไส้กรอกอีสาน,2,120,240
ก้อยปลา,3,112,336
ไส้กรอกอีสาน,1,114,114
หมกหน่อไม้,4,130,520
ตำไทย,3,75,225
น้ำตกหมู,4,142,568
แจ่วบอง,2,117,234
หมูยอ,5,112,560
ก้อยปลา,1,96,96
ตำไทย,3,94,282
ลาบหมู,1,149,149
ปลาดุกย่าง,3,46,138
ไส้กรอกอีสาน,4,51,204
ต้มแซ่บ,5,95,475
ตำไทย,4,45,180
หมูยอ,2,79,158
ตำแตง,1,117,117
แจ่วบอง,2,142,284
ไส้กรอกอีสาน,1,116,116
ตำปู,3,52,156
ไก่ย่าง,4,93,372
ตำปู,2,80,160
ตำแตง,1,53,53
ซุปหน่อไม้,2,113,226
ไส้กรอกอีสาน,2,92,184
ข้าวจี่,4,58,232
แจ่วบอง,5,138,690
หมูยอ,4,98,392
น้ำตกหมู,4,55,220
น้ำตกหมู,1,135,135
ซุปหน่อไม้,4,108,432
หมูยอ,4,48,192
ข้าวจี่,4,38,152
ไส้กรอกอีสาน,3,68,204
น้ำตกหมู,1,95,95
ตำแตง,2,139,278
ปลาร้าบอง,2,67,134
ไส้กรอกอีสาน,1,112,112
ปลาดุกย่าง,2,30,60
ปลาดุกย่าง,1,56,56
ไส้กรอกอีสาน,1,43,43
ปลาร้าบอง,4,135,540
ข้าวจี่,1,61,61
ตำไทย,3,62,186
ปลาร้าบอง,5,105,525
แหนม,3,76,228
หมกหน่อไม้,2,112,224
ตำไทย,3,122,366
ส้มตำ,2,95,190
ส้มตำ,5,88,440
ส้มตำ,3,50,150
ไก่ย่าง,1,141,141
ไก่ย่าง,3,69,207
หมูยอ,4,106,424
ข้าวเหนียว,1,94,94
ต้มแซ่บ,2,105,210
ไก่ย่าง,2,74,148
หมูยอ,4,88,352
ส้มตำ,5,129,645
แกงอ่อม,3,75,225
ปลาดุกย่าง,1,104,104
แกงอ่อม,1,84,84
ตำแตง,5,117,585
ตำปู,4,118,472
น้ำตกหมู,1,33,33
ไก่ย่าง,2,126,252
หมกหน่อไม้,3,30,90
แจ่วบอง,3,72,216
หมูยอ,2,32,64
ปลาดุกย่าง,1,40,40
ไส้กรอกอีสาน,3,80,240
แกงอ่อม,1,144,144
น้ำตกหมู,4,102,408
ปลาดุกย่าง,3,50,150
ก้อยปลา,4,36,144
แจ่วบอง,1,47,47
ข้าวเหนียว,1,149,149
ตำแตง,1,58,58
ลาบหมู,1,37,37
แจ่วบอง,1,94,94
แจ่วบอง,4,85,340
แกงอ่อม,1,101,101
ตำแตง,2,100,200
ลาบหมู,1,91,91
ตำไทย,1,112,112
ลาบหมู,3,108,324
ปลาร้าบอง,3,140,420
ปลาดุกย่าง,5,121,605
ตำปู,2,125,250
หมูยอ,5,148,740
ตำปู,2,149,298
ตำแตง,2,56,112
หมกหน่อไม้,4,90,360
ไก่ย่าง,2,127,254
ปลาร้าบอง,3,52,156
ตำไทย,5,37,185
ก้อยปลา,2,128,256
ไส้กรอกอีสาน,2,132,264
แกงอ่อม,3,50,150
ข้าวเหนียว,5,51,255
ซุปหน่อไม้,5,87,435
ปลาร้าบอง,3,122,366
ตำไทย,5,58,290
หมูยอ,4,100,400
หมกหน่อไม้,1,30,30
ตำแตง,3,35,105
ตำปู,1,39,39
แกงอ่อม,3,46,138
ส้มตำ,4,103,412
ตำปู,2,106,212
น้ำตกหมู,3,89,267
ข้าวเหนียว,3,97,291
ข้าวเหนียว,3,106,318
ลาบหมู,3,95,285
หมูยอ,4,95,380
ซุปหน่อไม้,2,138,276
ข้าวจี่,5,62,310
ไก่ย่าง,4,130,520
แจ่วบอง,3,137,411
แกงอ่อม,2,47,94
ก้อยปลา,5,131,655
ส้มตำ,3,75,225
ตำแตง,5,111,555
ปลาร้าบอง,5,122,610
ไก่ย่าง,2,90,180
ปลาร้าบอง,4,54,216
ปลาดุกย่าง,4,72,288
ก้อยปลา,3,101,303
หมกหน่อไม้,5,87,435
ซุปหน่อไม้,3,119,357
ไก่ย่าง,3,113,339
ตำปู,2,83,166
ไส้กรอกอีสาน,4,141,564
แกงอ่อม,2,78,156
ข้าวจี่,3,40,120
ตำไทย,5,104,520
หมกหน่อไม้,3,45,135
ข้าวเหนียว,4,137,548
หมูยอ,2,94,188
ต้มแซ่บ,3,123,369
ปลาร้าบอง,1,103,103
ซุปหน่อไม้,1,148,148
ลาบหมู,1,42,42
ซุปหน่อไม้,3,50,150
แหนม,5,83,415
ไส้กรอกอีสาน,1,64,64
น้ำตกหมู,2,39,78
ปลาดุกย่าง,3,72,216
แกงอ่อม,1,109,109
ปลาดุกย่าง,2,37,74
ต้มแซ่บ,2,37,74
หมูยอ,5,80,400
ตำแตง,5,127,635
ตำแตง,2,70,140
ปลาดุกย่าง,5,50,250
ไส้กรอกอีสาน,1,116,116
แจ่วบอง,4,119,476
ลาบหมู,1,129,129
ส้มตำ,4,127,508
ต้มแซ่บ,3,97,291
ปลาร้าบอง,1,129,129
ไส้กรอกอีสาน,4,66,264
ส้มตำ,3,142,426
หมกหน่อไม้,4,87,348
แหนม,3,124,372
ปลาร้าบอง,2,135,270
ต้มแซ่บ,1,123,123
หมูยอ,2,44,88
ไก่ย่าง,5,67,335
หมูยอ,1,121,121
ต้มแซ่บ,4,123,492
ปลาดุกย่าง,3,83,249
ตำปู,2,124,248
ต้มแซ่บ,2,54,108
หมกหน่อไม้,1,143,143
หมูยอ,4,37,148
ก้อยปลา,5,49,245
แจ่วบอง,1,47,47
น้ำตกหมู,5,90,450
ข้าวจี่,1,130,130
ก้อยปลา,3,83,249
ต้มแซ่บ,5,143,715
ข้าวเหนียว,2,69,138
ต้มแซ่บ,4,85,340
ตำไทย,1,81,81
ปลาดุกย่าง,3,130,390
ไส้กรอกอีสาน,5,138,690
ตำปู,2,134,268
หมูยอ,3,105,315
ปลาดุกย่าง,3,109,327
แจ่วบอง,4,71,284
แจ่วบอง,4,49,196
ตำปู,4,80,320
หมกหน่อไม้,1,135,135
ปลาดุกย่าง,4,143,572
ข้าวเหนียว,3,98,294
ต้มแซ่บ,3,81,243
ส้มตำ,1,111,111
ไส้กรอกอีสาน,1,146,146
ไส้กรอกอีสาน,1,77,77
ตำแตง,3,114,342
ตำแตง,1,108,108
ไส้กรอกอีสาน,2,37,74
ไส้กรอกอีสาน,2,75,150
แจ่วบอง,1,93,93
ข้าวเหนียว,4,34,136
น้ำตกหมู,4,31,124
ลาบหมู,5,42,210
ก้อยปลา,2,127,254
แหนม,1,33,33
ปลาดุกย่าง,1,127,127
ตำไทย,2,111,222
หมกหน่อไม้,1,39,39
ตำแตง,5,83,415
ข้าวจี่,5,83,415
ซุปหน่อไม้,3,62,186
ตำแตง,4,46,184
ตำไทย,4,91,364
แหนม,1,146,146
หมกหน่อไม้,1,129,129
หมูยอ,4,90,360
ตำปู,4,90,360
ลาบหมู,1,120,120
ต้มแซ่บ,2,130,260
ลาบหมู,1,111,111
ลาบหมู,4,54,216
ตำไทย,4,139,556
ต้มแซ่บ,3,134,402
ซุปหน่อไม้,4,64,256
ตำแตง,1,100,100
ไส้กรอกอีสาน,4,30,120
ตำปู,4,111,444
ตำปู,2,119,238
ปลาร้าบอง,5,126,630
ไก่ย่าง,5,127,635
ข้าวจี่,1,142,142
ตำแตง,2,60,120
น้ำตกหมู,2,102,204
ไส้กรอกอีสาน,5,120,600
ตำแตง,1,45,45
ไก่ย่าง,3,44,132
ซุปหน่อไม้,3,113,339
ตำแตง,5,96,480
น้ำตกหมู,3,59,177
ตำแตง,3,37,111
แจ่วบอง,2,37,74
ไก่ย่าง,1,147,147
ปลาร้าบอง,5,104,520
ก้อยปลา,1,65,65
ก้อยปลา,4,56,224
ข้าวจี่,2,45,90
แจ่วบอง,4,148,592
ไส้กรอกอีสาน,2,45,90
ไส้กรอกอีสาน,2,34,68
หมูยอ,5,126,630
ก้อยปลา,4,63,252
ก้อยปลา,3,74,222
